MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2165774,MUL,ACT,151 W Susquehanna Ave,Philadelphia,"Philadelphia, PA",4,Other,10/3/2022,Keller Williams Philly (55962),"$950,000 "
PAPH2165704,MUL,ACT,627 S 60th St,Philadelphia,"Philadelphia, PA",2,Other,10/3/2022,Keller Williams Main Line (KELWLMML),"$210,000 "
PAPH2163336,MUL,ACT,531 E Indiana Ave,Philadelphia,"Philadelphia, PA",2,Other,9/29/2022,Keller Williams Philly (55962),"$350,000 "
PADE2035060,MUL,ACT,1434 Summit St,Marcus Hook,"Delaware, PA",1,Other,9/29/2022,"Long & Foster Real Estate, Inc. (LF-MED)","$375,000 "
PAPH2164290,MUL,ACT,1437 W Passyunk Ave,Philadelphia,"Philadelphia, PA",2,Other,9/28/2022,Keller Williams Philly (55962),"$2,300,000 "
PAPH2163754,MUL,ACT,5845 Market St,Philadelphia,"Philadelphia, PA",2,Other,9/26/2022,"Compass Pennsylvania, LLC (COMPASS1)","$299,000 "
PAPH2161758,MUL,ACT,5506 Greene St,Philadelphia,"Philadelphia, PA",4,Quadruplex,9/20/2022,HomeSmart Realty Advisors (SOLDIER),"$599,000 "
PAPH2162316,MUL,ACT,2721 E Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,9/21/2022,"Compass Pennsylvania, LLC (COMPASS1)","$925,000 "
PAPH2161928,MUL,ACT,567 N 20th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,9/18/2022,RE/MAX One Realty (RMHMEXPT),"$665,000 "
PAPH2161968,MUL,ACT,7400-4 Large St,Philadelphia,"Philadelphia, PA",4,Quadruplex,9/21/2022,J G McSherry LLC (JGREINC),"$675,000 "
PAPH2161678,MUL,ACT,831-35 N 2nd St,Philadelphia,"Philadelphia, PA",4,Other,9/20/2022,Keller Williams Philly (55962),"$2,480,000 "
PAPH2161598,MUL,ACT,1600 S Etting St,Philadelphia,"Philadelphia, PA",1,Other,9/20/2022,Mercury Real Estate Group (MERCURY1),"$190,000 "
PAPH2160934,MUL,ACT,1139-41 N 3rd St,Philadelphia,"Philadelphia, PA",4,Other,9/19/2022,Keller Williams Philly (55962),"$6,500,000 "
PAPH2160682,MUL,ACT,6639 Crowson St,Philadelphia,"Philadelphia, PA",2,Other,9/15/2022,Elfant Wissahickon-Mt Airy (EL-W-MA),"$275,000 "
PAPH2160636,MUL,ACT,1946 N Gratz St,Philadelphia,"Philadelphia, PA",4,Other,9/21/2022,"Compass Pennsylvania, LLC (COMPASS12)","$800,000 "
PAPH2160432,MUL,ACT,1931 N 18th St,Philadelphia,"Philadelphia, PA",2,Other,9/21/2022,"Compass Pennsylvania, LLC (COMPASS12)","$900,000 "
PABU2032476,MUL,ACT,27 E Palmer St,Yardley,"Bucks, PA",4,Other,9/16/2022,BHHS Fox & Roach-Southampton (61036),"$1,100,000 "
PAPH2159970,MUL,ACT,4960-62 Rising Sun Ave,Philadelphia,"Philadelphia, PA",2,Quadruplex,9/14/2022,Central Realty Group LLC (55495),"$309,000 "
